1,Jonathan Isaac,SF,10-Jun,230,27,Orlando Magic,7,Florida State,2017 Rnd 1 Pick 6,United States
23,Jaden Ivey,G,4-Jun,195,22,Detroit Pistons,2,Purdue,2022 Rnd 1 Pick 5,United States
45,G.G. Jackson,PF,9-Jun,210,19,Memphis Grizzlies,1,South Carolina,2023 Rnd 2 Pick 15,United States
22,Isaiah Jackson,PF,9-Jun,205,22,Indiana Pacers,3,Kentucky,2021 Rnd 1 Pick 22,United States
44,"Andre Jackson, Jr.",G,6-Jun,209,22,Milwaukee Bucks,1,UConn,2023 Rnd 2 Pick 6,United States
13,"Jaren Jackson, Jr.",PF,10-Jun,242,25,Memphis Grizzlies,6,Michigan State,2018 Rnd 1 Pick 4,United States
29,Quenton Jackson,GF,5-Jun,173,26,Indiana Pacers,2,Texas A&M,"2022 NBA Draft, Undrafted",United States
0,Reggie Jackson,G,2-Jun,208,34,Philadelphia Sixers,13,Boston College,2011 Rnd 1 Pick 24,ItalyUnited States
32,Trayce Jackson-Davis,F,9-Jun,245,24,Golden State Warriors,1,Indiana,2023 Rnd 2 Pick 27,United States
9,Bronny James,G,2-Jun,210,20,Los Angeles Lakers,0,USC,2024 Rnd 2 Pick 25,United States
23,LeBron James,F,9-Jun,250,39,Los Angeles Lakers,21,St. Vincent St. Mary High School (Ohio),2003 Rnd 1 Pick 1,United States
11,"Jaime Jaquez, Jr.",GF,6-Jun,225,23,Miami Heat,1,UCLA,2023 Rnd 1 Pick 18,United States
21,DaQuan Jeffries,SF,5-Jun,222,27,Charlotte Hornets,5,Tulsa,"2019 NBA Draft, Undrafted",United States
55,Trey Jemison,PF,10-Jun,260,24,New Orleans Pelicans,1,UAB,"2023 NBA Draft, Undrafted",United States
24,Daniss Jenkins,G,3-Jun,165,23,Detroit Pistons,0,St. John's,"2024 NBA Draft, Undrafted",United States
2,Ty Jerome,PG,5-Jun,195,27,Cleveland Cavaliers,5,Virginia,2019 Rnd 1 Pick 24,United States
